function,start_label,method,x1,x2,f(x*),iterations,f_calls,g_calls,h_calls,success,distance_to_exact_min,message
Beale,A,CG,3.000000011082364,0.5000000027265544,1.9669167702389476e-17,27,66,66,0,True,1.1412838779028246e-08,Optimization terminated successfully.
Beale,A,Gradient Descent,2.7056100199870157,0.4163306209955416,0.019589356619575508,2379,2381,2379,0,True,0.3060490570399409,Gradient descent finished
Beale,A,Newton-CG,2.9999999999997073,0.4999999999999416,1.834015322977344e-26,15,15,15,15,True,2.9842439694527084e-13,Optimization terminated successfully.
Beale,B,Nelder-Mead,-311439.1664737656,1.0000031822085877,0.4520138285319435,3000,5508,0,0,False,311442.16647416697,Maximum number of iterations has been exceeded.
Beale,B,CG,-384.9212998997649,1.0025688072510175,0.45596947526755616,114,385,373,0,False,387.92162544943193,Desired error not necessarily achieved due to precision loss.
Beale,B,Gradient Descent,2.667276222533002,0.40382269373007695,0.02623097031943592,2416,2420,2416,0,True,0.3463454725173219,Gradient descent finished
Beale,B,Newton-CG,-201.38005790485147,1.0048997984775032,0.45957257924240413,133,235,235,133,True,204.38068155527066,Optimization terminated successfully.
Beale,C,Nelder-Mead,2.9999999997316853,0.4999999999385034,1.2108300337628374e-20,95,181,0,0,True,2.752718843430578e-10,Optimization terminated successfully.
Beale,C,CG,3.0000000000004214,0.5000000000002602,5.877560677185865e-25,14,37,37,0,True,4.953131836303731e-13,Optimization terminated successfully.
Beale,C,Gradient Descent,3.206286365229724,0.5471386750958224,0.005466078382002137,2145,2148,2145,0,True,0.21160368420583012,Gradient descent finished
Beale,C,Newton-CG,2.9999999946781077,0.49999999872170975,4.572796005059797e-18,13,15,15,13,True,5.473258919163853e-09,Optimization terminated successfully.
